id,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
7227,"TAMIL NADU","COIMBATORE URBAN",2019,17,12,4,38,5,48,0
7228,"TAMIL NADU","CUDDALORE",2019,30,41,10,10,12,42,0
7229,"TAMIL NADU","DHARMAPURI",2019,18,45,9,46,6,51,0
7230,"TAMIL NADU","DINDIGUL",2019,13,46,5,46,0,110,0
7231,"TAMIL NADU","ERODE",2019,18,42,6,46,5,29,0
7232,"TAMIL NADU","KANCHIPURAM",2019,20,12,4,26,4,15,0
7233,"TAMIL NADU","KANYAKUMARI",2019,15,58,6,13,104,96,0
7234,"TAMIL NADU","KARUR",2019,12,54,7,30,9,14,0
7235,"TAMIL NADU","KRISHNAGIRI",2019,24,57,7,29,0,44,0
7236,"TAMIL NADU","MADURAI RURAL",2019,19,45,17,66,8,81,0
7237,"TAMIL NADU","MADURAI URBAN",2019,5,13,15,14,24,73,0
7238,"TAMIL NADU","NAGAPATTINAM",2019,12,33,4,60,9,6,0
7239,"TAMIL NADU","NAMAKKAL",2019,12,45,4,55,12,15,0
7240,"TAMIL NADU","NILGIRIS",2019,11,10,0,12,16,5,0
7241,"TAMIL NADU","PERAMBALUR",2019,8,12,0,18,14,7,0
7242,"TAMIL NADU","PUDUKOTTAI",2019,9,50,7,46,4,16,0
7243,"TAMIL NADU","RAMNATHAPURAM",2019,19,54,5,18,6,19,0
7244,"TAMIL NADU","SALEM RURAL",2019,56,140,6,168,2,64,0
7245,"TAMIL NADU","SALEM URBAN",2019,23,40,6,28,25,49,0
7246,"TAMIL NADU","SIVAGANGAI",2019,3,34,7,19,4,37,0
7247,"TAMIL NADU","THANJAVUR",2019,9,46,6,77,0,11,0
7248,"TAMIL NADU","THENI",2019,20,82,8,65,67,129,0
7249,"TAMIL NADU","THIRUNELVELI RURAL",2019,50,61,6,91,0,55,0
7250,"TAMIL NADU","THIRUNELVELI URBAN",2019,20,11,0,9,1,7,0
7251,"TAMIL NADU","THIRUVALLUR",2019,21,17,10,13,5,22,0
7252,"TAMIL NADU","THIRUVANNAMALAI",2019,18,41,1,10,1,33,0
7253,"TAMIL NADU","THIRUVARUR",2019,14,20,1,23,2,15,0
7254,"TAMIL NADU","THOOTHUGUDI",2019,34,28,7,7,2,61,0
7255,"TAMIL NADU","TIRUPPUR",2019,12,48,9,27,0,50,0
7256,"TAMIL NADU","TRICHY RLY.",2019,0,1,4,2,0,2,0
7257,"TAMIL NADU","TRICHY RURAL",2019,11,28,9,29,0,39,0
7258,"TAMIL NADU","TRICHY URBAN",2019,8,18,9,13,94,36,0
7259,"TAMIL NADU","VELLORE",2019,34,58,10,31,5,69,0
7260,"TAMIL NADU","VILLUPURAM",2019,53,82,8,83,46,29,0
7261,"TAMIL NADU","VIRUDHUNAGAR",2019,23,62,4,27,103,62,0
7262,"TAMIL NADU","TOTAL",2019,688,1467,168,1409,642,1572,0
8010,"TAMIL NADU","ARIYALUR",2020,20,20,3,51,5,18,0
8011,"TAMIL NADU","CHENNAI",2020,79,44,22,77,125,232,0
8012,"TAMIL NADU","CHENNAI RLY.",2020,0,5,4,9,9,2,0
8013,"TAMIL NADU","COIMBATORE RURAL",2020,7,33,3,47,1,54,0
8014,"TAMIL NADU","COIMBATORE URBAN",2020,11,12,5,35,7,85,0
8015,"TAMIL NADU","CUDDALORE",2020,34,105,19,15,1,59,0
8016,"TAMIL NADU","DHARMAPURI",2020,18,64,0,47,1,57,0
8017,"TAMIL NADU","DINDIGUL",2020,20,52,5,48,2,121,0
8018,"TAMIL NADU","ERODE",2020,13,37,4,39,7,22,0
8019,"TAMIL NADU","KANCHIPURAM",2020,21,25,5,27,6,29,0
8020,"TAMIL NADU","KANYAKUMARI",2020,14,53,7,9,139,94,0
8021,"TAMIL NADU","KARUR",2020,10,58,3,23,5,26,0
8022,"TAMIL NADU","KRISHNAGIRI",2020,14,56,10,35,5,32,0
8023,"TAMIL NADU","MADURAI RURAL",2020,23,90,14,71,7,75,0
8024,"TAMIL NADU","MADURAI URBAN",2020,9,20,9,24,8,73,0
8025,"TAMIL NADU","NAGAPATTINAM",2020,16,34,8,44,29,16,0
8026,"TAMIL NADU","NAMAKKAL",2020,11,57,4,60,15,18,0
8027,"TAMIL NADU","NILGIRIS",2020,9,11,1,11,6,8,0
8028,"TAMIL NADU","PERAMBALUR",2020,10,27,5,20,0,7,0
8029,"TAMIL NADU","PUDUKOTTAI",2020,9,43,1,28,4,22,0
8030,"TAMIL NADU","RAMNATHAPURAM",2020,9,54,5,16,2,12,0
8031,"TAMIL NADU","SALEM RURAL",2020,39,104,6,112,2,55,0
8032,"TAMIL NADU","SALEM URBAN",2020,26,37,6,23,11,41,0
8033,"TAMIL NADU","SIVAGANGAI",2020,7,33,4,36,5,45,0
8034,"TAMIL NADU","THANJAVUR",2020,12,46,3,79,1,15,0
8035,"TAMIL NADU","THENI",2020,24,82,15,43,2,91,0
8036,"TAMIL NADU","THIRUNELVELI RURAL",2020,56,49,10,60,1,122,0
8037,"TAMIL NADU","THIRUNELVELI URBAN",2020,11,17,1,11,2,5,0
8038,"TAMIL NADU","THIRUVALLUR",2020,10,12,10,6,4,16,0
8039,"TAMIL NADU","THIRUVANNAMALAI",2020,26,61,7,14,1,14,0
8040,"TAMIL NADU","THIRUVARUR",2020,7,22,5,11,0,8,0
8041,"TAMIL NADU","THOOTHUGUDI",2020,31,39,6,6,1,43,0
8042,"TAMIL NADU","TIRUPPUR",2020,12,45,12,46,0,92,0
8043,"TAMIL NADU","TRICHY RLY.",2020,2,1,0,5,5,4,0
8044,"TAMIL NADU","TRICHY RURAL",2020,15,56,5,41,0,37,0
8045,"TAMIL NADU","TRICHY URBAN",2020,8,24,5,19,30,30,0
8046,"TAMIL NADU","VELLORE",2020,28,82,9,31,1,47,0
8047,"TAMIL NADU","VILLUPURAM",2020,89,191,10,278,2,143,0
8048,"TAMIL NADU","VIRUDHUNAGAR",2020,21,53,5,28,96,62,0
8049,"TAMIL NADU","TOTAL",2020,679,1747,155,1470,468,1816,0
8812,"TAMIL NADU","ARIYALUR",2021,15,43,4,57,2,16,0
8813,"TAMIL NADU","CHENNAI",2021,97,69,16,92,145,239,0
8814,"TAMIL NADU","CHENNAI RLY.",2021,1,6,2,7,2,4,0
8815,"TAMIL NADU","COIMBATORE RURAL",2021,12,36,4,40,0,51,0
8816,"TAMIL NADU","COIMBATORE URBAN",2021,23,16,0,21,6,116,0
8817,"TAMIL NADU","CUDDALORE",2021,44,126,10,67,1,66,0
8818,"TAMIL NADU","DHARMAPURI",2021,28,97,4,51,4,68,0
8819,"TAMIL NADU","DINDIGUL",2021,19,101,6,36,2,113,0
8820,"TAMIL NADU","ERODE",2021,12,25,5,46,0,30,0
8821,"TAMIL NADU","KANCHIPURAM",2021,22,21,6,20,3,19,0
8822,"TAMIL NADU","KANYAKUMARI",2021,14,36,8,15,0,102,0
8823,"TAMIL NADU","KARUR",2021,7,52,5,28,6,15,0
8824,"TAMIL NADU","KRISHNAGIRI",2021,16,45,4,53,5,36,0
8825,"TAMIL NADU","MADURAI RURAL",2021,33,78,13,78,6,74,0
8826,"TAMIL NADU","MADURAI URBAN",2021,14,55,7,31,12,65,0
8827,"TAMIL NADU","NAGAPATTINAM",2021,14,42,4,38,39,14,0
8828,"TAMIL NADU","NAMAKKAL",2021,14,46,4,41,17,11,0
8829,"TAMIL NADU","NILGIRIS",2021,11,11,3,19,4,11,0
8830,"TAMIL NADU","PERAMBALUR",2021,7,34,2,24,2,10,0
8831,"TAMIL NADU","PUDUKOTTAI",2021,10,31,2,29,4,37,0
8832,"TAMIL NADU","RAMNATHAPURAM",2021,13,38,6,17,5,21,0
8833,"TAMIL NADU","SALEM RURAL",2021,38,78,5,89,0,37,0
8834,"TAMIL NADU","SALEM URBAN",2021,17,22,6,15,16,24,0
8835,"TAMIL NADU","SIVAGANGAI",2021,15,42,7,39,1,61,0
8836,"TAMIL NADU","THANJAVUR",2021,18,47,5,78,2,32,0
8837,"TAMIL NADU","THENI",2021,25,43,9,54,2,67,0
8838,"TAMIL NADU","THIRUNELVELI RURAL",2021,46,47,5,60,0,269,0
8839,"TAMIL NADU","THIRUNELVELI URBAN",2021,5,7,4,8,2,29,0
8840,"TAMIL NADU","THIRUVALLUR",2021,20,15,8,11,4,23,0
8841,"TAMIL NADU","THIRUVANNAMALAI",2021,24,55,5,10,0,40,0
8842,"TAMIL NADU","THIRUVARUR",2021,15,37,5,9,1,20,0
8843,"TAMIL NADU","THOOTHUGUDI",2021,30,37,5,3,0,54,0
8844,"TAMIL NADU","TIRUPPUR",2021,10,42,9,56,1,78,0
8845,"TAMIL NADU","TRICHY RLY.",2021,1,5,2,6,2,4,0
8846,"TAMIL NADU","TRICHY RURAL",2021,18,26,7,37,1,27,0
8847,"TAMIL NADU","TRICHY URBAN",2021,11,16,7,12,43,28,0
8848,"TAMIL NADU","VELLORE",2021,28,70,10,41,1,64,0
8849,"TAMIL NADU","VILLUPURAM",2021,81,192,8,243,0,61,0
8850,"TAMIL NADU","VIRUDHUNAGAR",2021,25,34,5,26,114,50,0
8851,"TAMIL NADU","TOTAL",2021,740,1696,114,1497,386,1968,0
617,"Tamil Nadu","ARIYALUR",2022,13,22,7,26,2,11,0
618,"Tamil Nadu","CHENNAI",2022,85,46,16,57,157,225,0
619,"Tamil Nadu","CHENNAI RLY.",2022,1,2,0,8,0,5,0
620,"Tamil Nadu","COIMBATORE RURAL",2022,15,21,4,43,10,51,0
621,"Tamil Nadu","COIMBATORE URBAN",2022,21,5,3,18,7,50,0
622,"Tamil Nadu","CUDDALORE",2022,38,50,10,11,0,68,0
623,"Tamil Nadu","DHARMAPURI",2022,27,154,4,52,4,67,0
624,"Tamil Nadu","DINDIGUL",2022,15,98,5,49,2,98,0
625,"Tamil Nadu","ERODE",2022,16,29,1,28,1,25,0
626,"Tamil Nadu","KANCHIPURAM",2022,26,12,5,17,2,21,0
627,"Tamil Nadu","KANYAKUMARI",2022,15,33,5,9,0,121,0
628,"Tamil Nadu","KARUR",2022,11,20,2,12,5,15,0
629,"Tamil Nadu","KRISHNAGIRI",2022,10,69,14,52,4,49,0
630,"Tamil Nadu","MADURAI RURAL",2022,37,98,6,75,19,266,0
631,"Tamil Nadu","MADURAI URBAN",2022,19,23,5,26,5,93,0
632,"Tamil Nadu","NAGAPATTINAM",2022,13,23,5,32,26,11,0
633,"Tamil Nadu","NAMAKKAL",2022,25,40,0,61,13,18,0
634,"Tamil Nadu","NILGIRIS",2022,18,11,2,21,5,3,0
635,"Tamil Nadu","PERAMBALUR",2022,11,7,0,16,3,9,0
636,"Tamil Nadu","PUDUKOTTAI",2022,13,51,6,31,2,43,0
637,"Tamil Nadu","RAMNATHAPURAM",2022,12,26,6,26,5,24,0
638,"Tamil Nadu","SALEM RURAL",2022,28,64,8,64,2,51,0
639,"Tamil Nadu","SALEM URBAN",2022,18,20,3,13,11,51,0
640,"Tamil Nadu","SIVAGANGAI",2022,20,30,7,37,1,89,0
641,"Tamil Nadu","THANJAVUR",2022,35,41,2,70,6,49,0
642,"Tamil Nadu","THENI",2022,28,38,7,45,0,64,0
643,"Tamil Nadu","THIRUNELVELI RURAL",2022,76,116,9,84,0,489,0
644,"Tamil Nadu","THIRUNELVELI URBAN",2022,14,8,1,7,0,21,0
645,"Tamil Nadu","THIRUVALLUR",2022,24,26,12,13,2,21,0
646,"Tamil Nadu","THIRUVANNAMALAI",2022,53,48,5,35,4,36,0
647,"Tamil Nadu","THIRUVARUR",2022,19,21,3,9,2,17,0
648,"Tamil Nadu","THOOTHUGUDI",2022,54,27,4,37,4,66,0
649,"Tamil Nadu","TIRUPPUR",2022,22,43,12,42,9,95,0
650,"Tamil Nadu","TRICHY RLY.",2022,1,1,2,6,2,2,0
651,"Tamil Nadu","TRICHY RURAL",2022,25,26,6,43,2,53,0
652,"Tamil Nadu","TRICHY URBAN",2022,13,8,1,22,9,27,0
653,"Tamil Nadu","VELLORE",2022,54,86,11,35,61,42,0
654,"Tamil Nadu","VILLUPURAM",2022,71,158,8,129,1,84,0
655,"Tamil Nadu","VIRUDHUNAGAR",2022,36,27,7,19,0,52,0
656,"Tamil Nadu","ZZ TOTAL",2022,927,1518,121,1273,317,2474,0
612,"Tamil Nadu","Ariyalur",2023,9,16,5,26,2,10,0
613,"Tamil Nadu","Chennai",2023,68,26,12,61,160,305,0
614,"Tamil Nadu","Coimbatore",2023,9,39,2,25,2,50,0
615,"Tamil Nadu","Coimbatore City",2023,9,8,1,12,0,65,0
616,"Tamil Nadu","Cuddalore",2023,16,85,7,5,2,43,0
617,"Tamil Nadu","Dharmapuri",2023,15,138,5,29,2,34,0
618,"Tamil Nadu","Dindigul",2023,19,115,8,33,2,121,0
619,"Tamil Nadu","Erode",2023,2,29,0,22,0,30,0
620,"Tamil Nadu","Kanchipuram",2023,20,17,5,11,5,21,0
621,"Tamil Nadu","Kanyakumari",2023,9,18,5,7,2,59,0
622,"Tamil Nadu","Karur",2023,3,19,4,23,0,11,0
623,"Tamil Nadu","Krishnagiri",2023,17,70,8,36,4,33,0
624,"Tamil Nadu","Madurai",2023,39,170,9,81,14,328,0
625,"Tamil Nadu","Madurai City",2023,8,26,3,24,3,73,0
626,"Tamil Nadu","Nagapattinam",2023,20,41,2,17,30,24,0
627,"Tamil Nadu","Namakkal",2023,1,23,0,50,7,14,0
628,"Tamil Nadu","Nilgiris",2023,8,8,2,14,3,9,0
629,"Tamil Nadu","Perambalur",2023,9,8,4,30,0,17,0
630,"Tamil Nadu","Pudukottai",2023,6,49,4,33,2,48,0
631,"Tamil Nadu","Ramnathapuram",2023,10,32,6,15,1,27,0
632,"Tamil Nadu","Railway Chennai",2023,3,0,0,8,1,2,0
633,"Tamil Nadu","Railway Trichy",2023,0,1,1,1,0,2,0
634,"Tamil Nadu","Salem",2023,9,46,10,50,0,24,0
635,"Tamil Nadu","Salem City",2023,7,17,3,14,24,35,0
636,"Tamil Nadu","Sivagangai",2023,18,41,6,15,2,54,0
637,"Tamil Nadu","Thanjavur",2023,11,28,1,65,2,33,0
638,"Tamil Nadu","Theni",2023,11,49,8,32,0,62,0
639,"Tamil Nadu","Thirunelveli",2023,40,48,8,50,0,150,0
640,"Tamil Nadu","Thirunelveli City",2023,8,7,0,5,0,22,0
641,"Tamil Nadu","Thiruvallur",2023,12,11,8,6,4,18,0
642,"Tamil Nadu","Thiruvannamalai",2023,20,53,9,17,1,39,0
643,"Tamil Nadu","Thiruvarur",2023,5,26,3,6,5,10,0
644,"Tamil Nadu","Thoothukudi",2023,19,14,2,46,1,75,0
645,"Tamil Nadu","Tiruppur",2023,9,54,5,18,1,36,0
646,"Tamil Nadu","Tiruppur City",2023,7,17,0,9,2,26,0
647,"Tamil Nadu","Trichy",2023,10,34,5,53,2,51,0
648,"Tamil Nadu","Trichy City",2023,5,4,2,14,6,29,0
649,"Tamil Nadu","Vellore",2023,16,82,7,46,1,114,0
650,"Tamil Nadu","Villupuram",2023,40,129,9,179,0,83,0
651,"Tamil Nadu","Virudhunagar",2023,17,22,5,27,1,31,0
652,"Tamil Nadu","Cyber Cell",2023,2,1,0,0,0,0,0
653,"Tamil Nadu","Other Units",2023,0,1,0,2,1,1,0
654,"Tamil Nadu","Total District(s)",2023,458,1505,98,1105,233,2107,0
