Country,PIN,City,State,State_ID,District,District_ID,Community,Lat,Lng,Loc_accuracy,District_1
IN,621653,Poondi,Tamil Nadu,25,Ariyalur,616,Lalgudi,11.0425,79.0083,3,Ariyalur
IN,621701,Kunamangalam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0251,79.2492,4,Ariyalur
IN,621701,Sripurandan,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0462,79.311,4,Ariyalur
IN,621701,Ambapur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0449,79.2557,3,Ariyalur
IN,621701,Nagamangalam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0761,79.1909,4,Ariyalur
IN,621701,Kasankottai,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0665,79.2976,4,Ariyalur
IN,621701,Kadambur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0105,79.2297,4,Ariyalur
IN,621701,Thuthur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0449,79.2557,3,Ariyalur
IN,621701,Sundakudi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0449,79.2557,3,Ariyalur
IN,621701,Ulliakudi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0449,79.2557,3,Ariyalur
IN,621701,Sathambadi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0449,79.2557,3,Ariyalur
IN,621701,Muthuvancheri,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0449,79.2557,3,Ariyalur
IN,621701,Govindaputhur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0449,79.2557,3,Ariyalur
IN,621701,Pungangudi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0449,79.2557,3,Ariyalur
IN,621701,Periyattirukonam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0449,79.2557,3,Ariyalur
IN,621704,Siruvalur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0829,79.1209,4,Ariyalur
IN,621704,Kavanur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1546,79.201,4,Ariyalur
IN,621704,Subbarayapuram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0891,79.1006,4,Ariyalur
